price_date,eth_price,btc_price,eth_volume,btc_volume
2016-01-20 00:00:00.000,1.565411904541257,130.27,2899771.051018662,0.0
2016-01-21 00:00:00.000,1.544691862235827,135.35,1670627.3218903034,0.0
2016-01-22 00:00:00.000,1.471341822504971,135.48,1585027.991812104,0.0
2016-01-23 00:00:00.000,1.692156284936261,140.48,2212028.7971573095,0.0
2016-01-24 00:00:00.000,2.131691495370684,143.89,9578400.618786106,0.0
2016-01-25 00:00:00.000,2.48139608647395,143.61,10884776.210849365,0.0
2016-01-26 00:00:00.000,2.086782726986503,146.15,11669540.231742326,0.0
2016-01-27 00:00:00.000,2.384501158704437,151.34,7048626.2187527,0.0
2016-01-28 00:00:00.000,2.519719734523484,170.51,5043090.697552952,0.0
2016-01-29 00:00:00.000,2.486203232055895,172.01,6527897.661629626,0.0
2016-01-30 00:00:00.000,2.437601273512591,181.41,3674090.3975050296,0.0
2016-01-31 00:00:00.000,2.298766557449123,193.45,5834817.706592737,0.0
2016-02-01 00:00:00.000,2.221883059355513,206.78,3991411.3414352452,0.0
2016-02-02 00:00:00.000,2.403111855327034,198.8,3602402.308067327,0.0
2016-02-03 00:00:00.000,2.515949933456795,172.48,4030697.3392438097,0.0
2016-02-04 00:00:00.000,2.557178944302694,178.96,3532651.020271136,0.0
2016-02-05 00:00:00.000,2.532878565491474,189.83,2640353.6147680376,0.0
2016-02-06 00:00:00.000,2.517776369343559,198.55,1924574.7180617019,0.0
2016-02-07 00:00:00.000,2.950776113177157,204.39,7099203.5519039435,0.0
2016-02-08 00:00:00.000,3.165335693696386,204.2,9781404.736808997,0.0
2016-02-09 00:00:00.000,3.720453286688504,203.88,16355217.945349474,0.0
2016-02-10 00:00:00.000,4.427431437703359,205.26,29316397.613274623,0.0
2016-02-11 00:00:00.000,6.005000308112697,206.89,28752968.923665255,0.0
2016-02-12 00:00:00.000,5.475649283683189,212.45,9902598.244079141,0.0
2016-02-13 00:00:00.000,5.373284921940013,226.28,25637385.479897276,0.0
2016-02-14 00:00:00.000,5.169512436402438,230.63,11552061.707776096,0.0
2016-02-15 00:00:00.000,5.319058286377442,260.85,13786358.783861183,0.0
2016-02-16 00:00:00.000,4.368970122064963,295.63,15444552.58629855,0.0
2016-02-17 00:00:00.000,3.744022470740231,332.02,14847989.04999859,0.0
2016-02-18 00:00:00.000,4.397939042003922,358.0,17707643.869024027,0.0
2016-02-19 00:00:00.000,4.493895382965731,313.0,7215680.13205692,0.0
2016-02-20 00:00:00.000,4.301875677560981,340.55,8703306.94050525,0.0
2016-02-21 00:00:00.000,4.653970273276003,355.48,6458218.23306439,0.0
2016-02-22 00:00:00.000,5.608714257576696,404.17,15140246.890369605,0.0
2016-02-23 00:00:00.000,5.612091439849516,408.84,13534870.66434678,0.0
2016-02-24 00:00:00.000,6.134381259039694,424.16,11396482.659191374,0.0
2016-02-25 00:00:00.000,5.93625743323269,437.41,20614025.807056963,0.0
2016-02-26 00:00:00.000,5.897351626440898,488.36,9515283.257397331,0.0
