Date,Open,High,Low,Close,Adj Close,Volume
2016-08-25,0.009945,0.009969,0.009941,0.009945,0.009945,0
2016-08-26,0.009945,0.009991,0.009873,0.009945,0.009945,0
2016-08-29,0.009808,0.009817,0.009767,0.009812,0.009812,0
2016-08-30,0.009822,0.009827,0.009714,0.009822,0.009822,0
2016-08-31,0.009721,0.009721,0.009660,0.009721,0.009721,0
2016-09-01,0.009680,0.009701,0.009616,0.009680,0.009680,0
2016-09-02,0.009685,0.009724,0.009589,0.009684,0.009684,0
2016-09-05,0.009619,0.009694,0.009614,0.009621,0.009621,0
2016-09-06,0.009659,0.009799,0.009633,0.009661,0.009661,0
2016-09-07,0.009848,0.009879,0.009827,0.009850,0.009850,0
2016-09-08,0.009822,0.009857,0.009777,0.009820,0.009820,0
2016-09-09,0.009775,0.009805,0.009707,0.009775,0.009775,0
2016-09-12,0.009759,0.009826,0.009742,0.009762,0.009762,0
2016-09-13,0.009827,0.009855,0.009765,0.009828,0.009828,0
2016-09-14,0.009753,0.009772,0.009677,0.009756,0.009756,0
2016-09-15,0.009754,0.009808,0.009734,0.009752,0.009752,0
2016-09-16,0.009805,0.009826,0.009766,0.009803,0.009803,0
2016-09-19,0.009772,0.009844,0.009769,0.009775,0.009775,0
2016-09-20,0.009813,0.009845,0.009799,0.009819,0.009819,0
2016-09-21,0.009843,0.009944,0.009730,0.009848,0.009848,0
2016-09-22,0.009960,0.009990,0.009912,0.009961,0.009961,0
2016-09-23,0.009920,0.009932,0.009878,0.009918,0.009918,0
2016-09-26,0.009910,0.009970,0.009894,0.009912,0.009912,0
2016-09-27,0.009962,0.009986,0.009903,0.009964,0.009964,0
2016-09-28,0.009953,0.009958,0.009919,0.009953,0.009953,0
2016-09-29,0.009906,0.009909,0.009822,0.009907,0.009907,0
2016-09-30,0.009883,0.009925,0.009834,0.009882,0.009882,0
2016-10-03,0.009848,0.009880,0.009837,0.009846,0.009846,0
2016-10-04,0.009820,0.009820,0.009722,0.009822,0.009822,0
2016-10-05,0.009724,0.009739,0.009654,0.009720,0.009720,0
