Date, Close/Last, Volume, Open, High, Low
11/2/2018,1233.3,249587,1235.3,1238.4,1231.3
11/1/2018,1238.6,293251,1216.6,1239.3,1216.1
10/31/2018,1215,231855,1224.7,1225,1213.4
10/30/2018,1225.3,218624,1231.9,1232.5,1221.4
10/29/2018,1227.6,225204,1236.4,1237.6,1226.1
10/26/2018,1235.8,304896,1234.7,1246,1232.5
10/25/2018,1232.4,252780,1236.6,1242,1230.5
10/24/2018,1231.1,204289,1233.8,1238,1228.3
10/23/2018,1236.8,276325,1225.1,1243,1224.5
10/22/2018,1224.6,180132,1230.5,1232.6,1222.8
10/19/2018,1228.7,188648,1228.6,1234.1,1226.2
10/18/2018,1230.1,239133,1225.5,1233.6,1221.7
10/17/2018,1227.4,228207,1228,1232.9,1223.7
10/16/2018,1231,233393,1230.5,1235.9,1226.3
10/15/2018,1226.4,136,1222.4,1232.3,1222.4
10/12/2018,1222,309392,1227.7,1228.1,1219.3
10/11/2018,1227.6,503085,1197.9,1230,1194.7
10/10/2018,1193.4,243118,1192.7,1198.6,1188.5
10/9/2018,1191.5,236941,1192.2,1195.8,1186.6
10/8/2018,1184.4,250,1201,1201,1183.7
10/5/2018,1205.6,250219,1203.7,1209.8,1200.9
10/4/2018,1201.6,280314,1201.4,1210.7,1199.6
10/3/2018,1202.9,246832,1207,1212.3,1200.4
10/2/2018,1207,350240,1192.7,1212.3,1192.2
10/1/2018,1191.7,213617,1196.1,1196.5,1188.1
9/28/2018,1196.2,300928,1186.8,1198,1184.3
9/27/2018,1182.3,4947,1194.6,1197.3,1180.5
9/26/2018,1199.1,330481,1205.5,1206.9,1194.6
9/25/2018,1205.1,192109,1203.1,1207.9,1201.3
9/24/2018,1204.4,207122,1204,1208.8,1198.6
9/21/2018,1201.3,333369,1212.1,1215.8,1196
9/20/2018,1211.3,232693,1208.8,1213.2,1205.1
9/19/2018,1202.2, N/A,1202.2,1202.2,1202.2
9/18/2018,1202.9,223080,1206.4,1208.2,1200.3
9/17/2018,1205.8,205761,1199.8,1209.7,1197.5
9/14/2018,1201.1,276004,1206.6,1213.8,1197.7
9/13/2018,1208.2,295658,1212.4,1218,1205
9/12/2018,1210.9,292275,1203.5,1213.9,1197.6
9/11/2018,1202.2,253326,1200.4,1204.8,1192.7
9/10/2018,1199.8,207244,1200.7,1203.8,1196.2
9/7/2018,1200.4,272324,1205.6,1209,1198.7
9/6/2018,1204.3,278851,1202.5,1212.7,1200.5
9/5/2018,1201.3,203575,1197.2,1204.2,1196.4
9/4/2018,1199.1,402704,1207,1209.7,1195.1
8/31/2018,1206.7,117750,1206.3,1209.7,1201.2
8/30/2018,1205,276369,1212.6,1214,1202.1
8/29/2018,1211.5,235721,1206.6,1213.7,1206.6
8/28/2018,1207.4,136,1209.7,1217,1202.3
8/27/2018,1216,205140,1214.5,1218.8,1209.3
8/24/2018,1213.3,286519,1191.6,1215.4,1189.5
8/23/2018,1194,226193,1202.8,1203.4,1190.2
8/22/2018,1203.3,227367,1203,1208.4,1199.2
8/21/2018,1200,211149,1197.3,1204.3,1194.3
8/20/2018,1194.6,199964,1190.4,1197.7,1189.6
8/17/2018,1184.2,246695,1180.7,1192,1178.5
8/16/2018,1184,353666,1183,1189,1167.1
8/15/2018,1185,364039,1201.5,1202,1180
8/14/2018,1193,92,1193.1,1197.5,1192.8
8/13/2018,1198.9,363069,1218.4,1221.4,1198.6
8/10/2018,1219,317657,1220,1224.9,1213.1
8/9/2018,1219.9,225166,1222,1225.6,1218.4
8/8/2018,1221,255706,1218.7,1223.8,1213.6
8/7/2018,1218.3,199691,1215.8,1224.3,1215.6
8/6/2018,1208.6,297,1214.4,1214.4,1206.6
8/3/2018,1223.2,272386,1216,1228.5,1212.5
8/2/2018,1210.6,411,1214.7,1219.3,1205.8
8/1/2018,1227.6,210076,1232.7,1233.7,1224.4
7/31/2018,1233.6,287649,1230.5,1237.8,1222.6
7/30/2018,1231.5,178604,1231.1,1234.1,1227.8
7/27/2018,1232.7,150903,1231.4,1236.5,1226.3
7/26/2018,1235.3,99096,1240.8,1244.6,1231.3
7/25/2018,1241,55539,1233.3,1243.4,1232.5
7/24/2018,1234.6,64451,1233.4,1238.6,1227
7/23/2018,1234.4,75122,1240.7,1244.7,1231.1
7/20/2018,1231.1,342215,1222.9,1232.4,1215.3
7/19/2018,1224,414022,1227.3,1229.6,1210.7
7/18/2018,1227.9,272126,1227,1229.1,1220.9
7/17/2018,1227.3,304251,1240.8,1245.1,1225.9
7/16/2018,1239.7,178908,1241,1245.8,1238.3
7/13/2018,1241.2,248662,1247.7,1248.5,1236.2
7/12/2018,1246.6,216104,1242.3,1248.8,1241.4
7/11/2018,1244.4,293555,1256.7,1257.3,1241.7
7/10/2018,1255.4,266748,1258.5,1261,1247.7
7/9/2018,1259.6,231724,1255.7,1266.9,1255.7
7/6/2018,1255.8,195750,1258.4,1260.2,1253.7
7/5/2018,1258.8,372468,1257.7,1262.4,1252.2
7/3/2018,1253.5,145678,1253.5,1262.4,1238.8
7/2/2018,1241.7,251533,1253.4,1255.6,1240.6
6/29/2018,1254.5,221077,1249.5,1257.1,1246.9
6/28/2018,1251,234981,1253.6,1255.8,1247.2
6/27/2018,1256.1,250008,1260.5,1261.9,1252.2
6/26/2018,1259.9,243918,1267.3,1269.4,1256.4
6/25/2018,1268.9,191258,1272.2,1274.4,1265.5
6/22/2018,1270.7,177199,1268.6,1273.1,1268.4
6/21/2018,1270.5,268481,1269.7,1272.3,1262.4
6/20/2018,1274.5,223323,1277.3,1278.6,1269.6
6/19/2018,1278.6,272942,1280.7,1286.8,1272.6
6/18/2018,1280.1,180772,1281.1,1284.9,1279.5
6/15/2018,1278.5,495364,1305.9,1306.7,1277.9
6/14/2018,1308.3,332112,1303.1,1313,1301
6/13/2018,1301.3,254837,1299.6,1305.2,1294.5
6/12/2018,1299.4,227402,1304.5,1304.8,1296.3
6/11/2018,1303.2,206333,1303.5,1307,1297.8
6/8/2018,1302.7,211335,1301.3,1304.8,1296
6/7/2018,1303,239302,1300.9,1307.8,1299
6/6/2018,1301.4,239391,1300.6,1306.1,1297.7
6/5/2018,1302.2,257770,1296.4,1304.8,1293.5
6/4/2018,1297.3,209443,1296.7,1302.3,1293.8
6/1/2018,1299.3,308394,1303,1304.8,1293.1
5/31/2018,1304.7,293132,1306,1311.5,1301
5/30/2018,1306.5,320122,1303.1,1308.8,1300
5/29/2018,1304.1,348290,1302.2,1311.3,1296.6
5/25/2018,1309,61195,1305.7,1309,1299.9
5/24/2018,1309.8,99686,1298,1311.8,1297.4
5/23/2018,1294.8,61616,1295.9,1303.8,1292
5/22/2018,1297.4,42154,1298.2,1301.3,1292.8
5/21/2018,1290.9,313755,1290.3,1292.7,1281.2
5/18/2018,1291.3,254923,1290,1293.7,1285.1
5/17/2018,1289.4,289678,1290.2,1294,1284
5/16/2018,1291.5,321197,1290.1,1296.4,1285.7
5/15/2018,1290.3,461831,1313.2,1314.7,1288.2
5/14/2018,1318.2,235892,1318.3,1322.4,1312.8
5/11/2018,1320.7,259923,1321.8,1326.3,1317
5/10/2018,1322.3,362491,1312.8,1323.4,1310.6
5/9/2018,1313,372491,1315.3,1317.8,1304.2
5/8/2018,1313.7,398268,1314.1,1318.5,1306.2
5/7/2018,1314.1,230426,1316.3,1320.1,1310.6
5/4/2018,1314.7,299809,1312.8,1316.9,1308.5
5/3/2018,1312.7,297240,1305.5,1319,1305.2
